TI-AFEXXXX,,2/16/2022,
GRE-DC_Time,GRE-DC_Value,GRE-AMB_Time,GRE-AMB_Value
4.4140625,-0.418160248,4.4140625,-0.121830368
4.423828125,-0.418424034,4.423828125,-0.120575523
4.43359375,-0.418240356,4.43359375,-0.119535255
4.443359375,-0.41863575,4.443359375,-0.117962837
4.453125,-0.418263817,4.453125,-0.116174698
4.462890625,-0.418232346,4.462890625,-0.115103531
4.47265625,-0.418157959,4.47265625,-0.113281631
4.482421875,-0.418222046,4.482421875,-0.111454582
4.4921875,-0.418035507,4.4921875,-0.109245872
4.501953125,-0.418057823,4.501953125,-0.107632256
4.51171875,-0.417895317,4.51171875,-0.105241013
4.521484375,-0.418036079,4.521484375,-0.101543427
4.53125,-0.418008041,4.53125,-0.100532913
4.541015625,-0.418095016,4.541015625,-0.098144531
4.55078125,-0.418018913,4.55078125,-0.095765305
4.560546875,-0.418117905,4.560546875,-0.093351173
4.5703125,-0.418129921,4.5703125,-0.090429497
4.580078125,-0.418114471,4.580078125,-0.085553741
4.58984375,-0.417704201,4.58984375,-0.084584427
4.599609375,-0.417823219,4.599609375,-0.082414055
4.609375,-0.417955399,4.609375,-0.079995346
4.619140625,-0.417763138,4.619140625,-0.076638794
4.62890625,-0.417941666,4.62890625,-0.075188255
4.638671875,-0.417692757,4.638671875,-0.073008728
4.6484375,-0.417600632,4.6484375,-0.070882988
4.658203125,-0.417786598,4.658203125,-0.069957733
4.66796875,-0.417883873,4.66796875,-0.069459915
4.677734375,-0.417844391,4.677734375,-0.066435242
4.6875,-0.417545128,4.6875,-0.063894081
4.697265625,-0.417809486,4.697265625,-0.063444901
4.70703125,-0.417601776,4.70703125,-0.060671425
4.716796875,-0.417607498,4.716796875,-0.058664131
4.7265625,-0.417452431,4.7265625,-0.057134056
4.736328125,-0.417599487,4.736328125,-0.054442978
4.74609375,-0.417806625,4.74609375,-0.052818489
4.755859375,-0.417641258,4.755859375,-0.050198936
4.765625,-0.417563438,4.765625,-0.047666931
4.775390625,-0.417533684,4.775390625,-0.043704987
4.78515625,-0.417664146,4.78515625,-0.04342289
4.794921875,-0.417451286,4.794921875,-0.041693687
4.8046875,-0.417671585,4.8046875,-0.039417458
4.814453125,-0.417538261,4.814453125,-0.038481331
4.82421875,-0.417497635,4.82421875,-0.037548065
4.833984375,-0.417606926,4.833984375,-0.035656929
4.84375,-0.417489624,4.84375,-0.034673309
4.853515625,-0.417479324,4.853515625,-0.034182358
4.86328125,-0.417265892,4.86328125,-0.031938744
4.873046875,-0.417537117,4.873046875,-0.030259323
4.8828125,-0.417308807,4.8828125,-0.028555298
4.892578125,-0.417486763,4.892578125,-0.027132797
4.90234375,-0.417679024,4.90234375,-0.025788689
4.912109375,-0.4173666,4.912109375,-0.025579262
4.921875,-0.41727047,4.921875,-0.025230217
4.931640625,-0.417092514,4.931640625,-0.022816086
4.94140625,-0.417252159,4.94140625,-0.022831535
4.951171875,-0.417302513,4.951171875,-0.021501732
4.9609375,-0.417197227,4.9609375,-0.021699715
4.970703125,-0.417327118,4.970703125,-0.020653725
4.98046875,-0.417277908,4.98046875,-0.020621109
4.990234375,-0.417339706,4.990234375,-0.02007122
5,-0.417387199,5,-0.019599152
5.009765625,-0.417276764,5.009765625,-0.018857002
5.01953125,-0.41733284,5.01953125,-0.018577194
5.029296875,-0.417268753,5.029296875,-0.01826992
5.0390625,-0.417353439,5.0390625,-0.01677475
5.048828125,-0.417334557,5.048828125,-0.015875244
5.05859375,-0.417282486,5.05859375,-0.016842842
5.068359375,-0.417184639,5.068359375,-0.015783119
5.078125,-0.417157745,5.078125,-0.014409828
5.087890625,-0.417557144,5.087890625,-0.01411171
5.09765625,-0.417233849,5.09765625,-0.015441513
5.107421875,-0.417232132,5.107421875,-0.012946701
5.1171875,-0.417262459,5.1171875,-0.013719749
5.126953125,-0.417311668,5.126953125,-0.012931824
5.13671875,-0.417159462,5.13671875,-0.013080025
5.146484375,-0.417330551,5.146484375,-0.013900566
5.15625,-0.417174911,5.15625,-0.01301651
5.166015625,-0.417212105,5.166015625,-0.013121796
5.17578125,-0.417109108,5.17578125,-0.012109566
5.185546875,-0.417113113,5.185546875,-0.012922668
5.1953125,-0.417379189,5.1953125,-0.012336731
5.205078125,-0.417261314,5.205078125,-0.011301041
5.21484375,-0.417188072,5.21484375,-0.012172508
