,1/13/2021
Timestamp,cbt [mC]
1610548689,37078
1610548690,37078
1610548691,37078
1610548692,37078
1610548693,37078
1610548694,37078
1610548695,37078
1610548696,37079
1610548697,37074
1610548698,37074
1610548699,37074
1610548700,37074
1610548701,37074
1610548702,37074
1610548703,37074
1610548704,37074
1610548705,37074
1610548706,37074
1610548707,37074
1610548708,37074
1610548709,37074
1610548710,37074
1610548711,37074
1610548712,37074
1610548713,37074
1610548714,37074
1610548715,37074
1610548716,37074
1610548717,37074
1610548718,37074
1610548719,37074
1610548720,37074
1610548721,37074
1610548722,37074
1610548723,37074
1610548724,37074
1610548725,37074
1610548726,37074
1610548727,37074
1610548728,37074
1610548729,37074
1610548730,37074
1610548731,37074
1610548732,37074
1610548733,37074
1610548734,37074
1610548735,37074
1610548736,37074
1610548737,37074
1610548738,37074
1610548739,37074
1610548740,37074
1610548741,37074
1610548742,37074
1610548743,37074
1610548744,37074
1610548745,37074
1610548746,37074
1610548747,37074
1610548748,37074
1610548749,37074
1610548750,37074
1610548751,37074
1610548752,37074
1610548753,37074
1610548754,37074
1610548755,37074
1610548756,37074
1610548757,37074
1610548758,37074
1610548759,37074
1610548760,37074
1610548761,37074
1610548762,37074
1610548763,37074
1610548764,37074
1610548765,37074
1610548766,37074
1610548767,37074
1610548768,37074
1610548769,37074
1610548770,37074
1610548771,37074
1610548772,37074
1610548773,37074
1610548774,37074
1610548775,37074
1610548776,37074
1610548777,37074
1610548778,37074
1610548779,37074
1610548780,37074
1610548781,37074
1610548782,37074
1610548783,37074
1610548784,37074
1610548785,37074
1610548786,37074
1610548787,37074
1610548788,37074
1610548789,37074
1610548790,37074
1610548791,37074
1610548792,37074
1610548793,37074
1610548794,37074
1610548795,37074
1610548796,37074
1610548797,37074
1610548798,37074
1610548799,37074
1610548800,37074
1610548801,37074
1610548802,37074
1610548803,37074
1610548804,37074
1610548805,37074
1610548806,37074
1610548807,37074
1610548808,37074
1610548809,37074
1610548810,37074
1610548811,37074
1610548812,37074
1610548813,37074
1610548814,37074
1610548815,37074
1610548816,37074
1610548817,37069
1610548818,37069
1610548819,37069
1610548820,37069
1610548821,37069
1610548822,37069
1610548823,37069
1610548824,37069
1610548825,37069
1610548826,37069
1610548827,37069
1610548828,37069
1610548829,37069
1610548830,37069
1610548831,37069
1610548832,37069
1610548833,37069
1610548834,37069
1610548835,37069
1610548836,37069
1610548837,37069
1610548838,37069
1610548839,37069
1610548840,37069
1610548841,37069
1610548842,37069
1610548843,37069
1610548844,37069
1610548845,37069
1610548846,37069
1610548847,37069
1610548848,37069
1610548849,37069
1610548850,37069
1610548851,37069
1610548852,37069
1610548853,37069
1610548854,37069
1610548855,37069
1610548856,37069
1610548857,37069
1610548858,37069
